	Temp	FM	Psi	Date
0	5	30	-0.2	12/15/10
1	5	30	-0.2	12/16/10
2	5	30	-0.2	12/17/10
3	5	30	-0.2	12/18/10
4	5	30	-0.2	12/19/10
5	5	30	-0.2	12/20/10
6	5	30	-0.2	12/21/10
7	5	30	-0.2	12/22/10
8	5	30	-0.2	12/23/10
9	5	30	-0.2	12/24/10
10	5	30	-0.2	12/25/10
11	5	30	-0.2	12/26/10
12	5	30	-0.2	12/27/10
13	5	30	-0.2	12/28/10
14	5	30	-0.2	12/29/10
15	5	30	-0.2	12/30/10
16	5	30	-0.2	12/31/10
17	5	30	-0.2	1/1/11
18	5	30	-0.2	1/2/11
19	5	30	-0.2	1/3/11
20	5	30	-0.2	1/4/11
21	5	30	-0.2	1/5/11
22	5	30	-0.2	1/6/11
23	5	30	-0.2	1/7/11
24	5	30	-0.2	1/8/11
25	5	30	-0.2	1/9/11
26	5	30	-0.2	1/10/11
27	5	30	-0.2	1/11/11
28	5	30	-0.2	1/12/11
29	5	30	-0.2	1/13/11
30	5	30	-0.2	1/14/11
31	5	30	-0.2	1/15/11
32	5	30	-0.2	1/16/11
33	5	30	-0.2	1/17/11
34	5	30	-0.2	1/18/11
35	5	30	-0.2	1/19/11
36	5	30	-0.2	1/20/11
37	5	30	-0.2	1/21/11
38	5	30	-0.2	1/22/11
39	5	30	-0.2	1/23/11
40	5	30	-0.2	1/24/11
41	5	30	-0.2	1/25/11
42	5	30	-0.2	1/26/11
43	5	30	-0.2	1/27/11
44	5	30	-0.2	1/28/11
45	5	30	-0.2	1/29/11
46	5	30	-0.2	1/30/11
47	5	30	-0.2	1/31/11
48	5	30	-0.2	2/1/11
49	5	30	-0.2	2/2/11
50	5	30	-0.2	2/3/11
51	5	30	-0.2	2/4/11
52	5	30	-0.2	2/5/11
53	5	30	-0.2	2/6/11
54	5	30	-0.2	2/7/11
55	5	30	-0.2	2/8/11
56	5	30	-0.2	2/9/11
57	5	30	-0.2	2/10/11
58	5	30	-0.2	2/11/11
59	5	30	-0.2	2/12/11
60	5	30	-0.2	2/13/11
61	5	30	-0.2	2/14/11
62	5	30	-0.2	2/15/11
63	5	30	-0.2	2/16/11
64	5	30	-0.2	2/17/11
65	5	30	-0.2	2/18/11
66	5	30	-0.2	2/19/11
67	5	30	-0.2	2/20/11
68	5	30	-0.2	2/21/11
69	5	30	-0.2	2/22/11
70	5	30	-0.2	2/23/11
71	5	30	-0.2	2/24/11
72	5	30	-0.2	2/25/11
73	5	30	-0.2	2/26/11
74	5	30	-0.2	2/27/11
75	5	30	-0.2	2/28/11
76	5	30	-0.2	3/1/11
77	5	30	-0.2	3/2/11
78	5	30	-0.2	3/3/11
79	5	30	-0.2	3/4/11
80	5	30	-0.2	3/5/11
81	5	30	-0.2	3/6/11
82	5	30	-0.2	3/7/11
83	5	30	-0.2	3/8/11
84	5	30	-0.2	3/9/11
85	5	30	-0.2	3/10/11
86	5	30	-0.2	3/11/11
87	5	30	-0.2	3/12/11
88	5	30	-0.2	3/13/11
89	5	30	-0.2	3/14/11
90	5	30	-0.2	3/15/11
91	5	30	-0.2	3/16/11
92	5	30	-0.2	3/17/11
93	5	30	-0.2	3/18/11
94	5	30	-0.2	3/19/11
95	5	30	-0.2	3/20/11
96	5	30	-0.2	3/21/11
97	5	30	-0.2	3/22/11
98	5	30	-0.2	3/23/11
99	5	30	-0.2	3/24/11
100	5	30	-0.2	3/25/11
101	5	30	-0.2	3/26/11
102	5	30	-0.2	3/27/11
103	5	30	-0.2	3/28/11
104	5	30	-0.2	3/29/11
105	5	30	-0.2	3/30/11
106	5	30	-0.2	3/31/11
107	5	30	-0.2	4/1/11
108	5	30	-0.2	4/2/11
109	5	30	-0.2	4/3/11
110	5	30	-0.2	4/4/11
111	5	30	-0.2	4/5/11
112	5	30	-0.2	4/6/11
113	5	30	-0.2	4/7/11
114	5	30	-0.2	4/8/11
115	5	30	-0.2	4/9/11
116	5	30	-0.2	4/10/11
117	5	30	-0.2	4/11/11
118	5	30	-0.2	4/12/11
119	5	30	-0.2	4/13/11
120	5	30	-0.2	4/14/11
